UniqueID,Governor,Year,Totalwords,Totalwords_STR,Numberofvermonters,Pctwords
90,Isaac Tichenor,1804,1043," 1,043 ",0,0
91,Isaac Tichenor,1806,1068," 1,068 ",0,0
92,Isaac Tichenor,1808,1476," 1,476 ",0,0
93,Israel Smith,1807,2094," 2,094 ",0,0
94,J. Gregory Smith,1863,6492," 6,492 ",0,0
95,J. Gregory Smith,1864,9306," 9,306 ",0,0
96,John Barstow,1882,10834," 10,834 ",0,0
97,John Mattocks,1843,3093," 3,093 ",0,0
98,John McCullough,1902,1985," 1,985 ",0,0
99,John Mead,1910,7283," 7,283 ",0,0
100,John Page,1867,2402," 2,402 ",0,0
101,John Page,1868,5193," 5,193 ",0,0
102,John Robinson,1853,3294," 3,294 ",0,0
103,John Stewart,1870,2553," 2,553 ",0,0
104,John Weeks,1927,4193," 4,193 ",0,0
105,Jonas Galusha,1809,1604," 1,604 ",0,0
106,Jonas Galusha,1810,1973," 1,973 ",0,0
107,Jonas Galusha,1811,1682," 1,682 ",0,0
108,Jonas Galusha,1812,1953," 1,953 ",0,0
109,Jonas Galusha,1815,2365," 2,365 ",0,0
110,Jonas Galusha,1816,1732," 1,732 ",0,0
111,Jonas Galusha,1817,1364," 1,364 ",0,0
112,Jonas Galusha,1818,1430," 1,430 ",0,0
113,Jonas Galusha,1819,1682," 1,682 ",0,0
114,Josiah Grout,1896,5604," 5,604 ",0,0
115,Levi Fuller,1892,8352," 8,352 ",0,0
116,Martin Chittenden,1813,1349," 1,349 ",0,0
117,Martin Chittenden,1814,2023," 2,023 ",0,0
118,Paul Dillingham,1865,2385," 2,385 ",0,0
119,Paul Dillingham,1866,6024," 6,024 ",0,0
120,Percival Clement,1919,4583," 4,583 ",0,0
121,Peter Washburn,1869,3945," 3,945 ",0,0
122,"Redfield Proctor, II",1923,4585," 4,585 ",0,0
123,Redfield Proctor,1878,6305," 6,305 ",0,0
124,Richard Skinner,1820,1869," 1,869 ",0,0
125,Richard Skinner,1821,2315," 2,315 ",0,0
126,Richard Skinner,1822,2073," 2,073 ",0,0
127,Ryland Fletcher,1856,3896," 3,896 ",0,0
128,Ryland Fletcher,1857,3611," 3,611 ",0,0
129,Samuel Crafts,1828,2396," 2,396 ",0,0
130,Samuel Crafts,1829,3167," 3,167 ",0,0
131,Samuel Crafts,1830,2788," 2,788 ",0,0
132,Silas Jenison,1836,2127," 2,127 ",0,0
133,Silas Jenison,1837,2479," 2,479 ",0,0
134,Silas Jenison,1838,3283," 3,283 ",0,0
135,Silas Jenison,1839,4351," 4,351 ",0,0
136,Silas Jenison,1840,4025," 4,025 ",0,0
137,Stephen Royce,1854,1286," 1,286 ",0,0
138,Stephen Royce,1855,1564," 1,564 ",0,0
139,Thomas Chittenden,1779,835, 835 ,0,0
140,Thomas Chittenden,1780,218, 218 ,0,0
141,Thomas Chittenden,1790,472, 472 ,0,0
142,William Dillingham,1888,4738," 4,738 ",0,0
143,William Palmer,1831,1399," 1,399 ",0,0
144,William Palmer,1832,2161," 2,161 ",0,0
145,William Palmer,1833,1481," 1,481 ",0,0
146,William Palmer,1834,1943," 1,943 ",0,0
147,William Slade,1844,10450," 10,450 ",0,0
148,William Slade,1845,12387," 12,387 ",0,0
149,William Stickney,1900,3540," 3,540 ",0,0
